Order Line ID,Order ID,Order Priority,Customer ID,Customer Name,Customer Segment,City,Product Category,Product Sub Category,Product Container,Product Name,Profit,Quantity Ordered,Sales,Discount,Gross Unit Price,Shipping Cost,Ship Mode,Ship Date,Order Date,No data,No data 2,No data 3,City_1,State,Postal_Code,Country,Latitude,Longitude,Continent,Region
"6048","91038","Low","2220","Jennifer Stanton","Consumer","Standerton","Office Supplies","Paper","Wrap Bag","Wirebound Message Book, 4 per Page",-67.15,6,34.04,0.38,5.73,0.95,"Regular Air",'2015-08-12','2015-08-12',"","","","Standerton","Mpumalanga","ZA101685","South Africa","-26.93","29.240","Africa","Southern Africa"
"7128","87382","Low","2601","Malcolm French","Corporate","Standerton","Office Supplies","Scissors, Rulers and Trimmers","Small Pack","Acme Kleencut Forged Steel Scissors",-49.04,7,40.299999999999,0.97,6.06,5.3,"Regular Air",'2012-09-26','2012-09-21',"","","","Standerton","Mpumalanga","ZA101685","South Africa","-26.93","29.240","Africa","Southern Africa"
"4945","23782","Low","1822","Caroline Morton","Corporate","Standerton","Office Supplies","Storage & Organization","Large Box","Tennsco Commercial Shelving",-250.38,7,136.76,9.55,21.47,35.0,"Regular Air",'2013-01-15','2013-01-10',"","","","Standerton","Mpumalanga","ZA101685","South Africa","-26.93","29.240","Africa","Southern Africa"
"7141","86121","Low","2614","Sarah Pappas","Corporate","Standerton","Office Supplies","Paper","Small Box","Xerox 196",-194.4,21,127.89,0.66,6.09,7.96,"Regular Air",'2013-10-25','2013-10-20',"","","","Standerton","Mpumalanga","ZA101685","South Africa","-26.93","29.240","Africa","Southern Africa"
"5498","87127","Medium","2027","Tracey McCall","Small Business","Standerton","Office Supplies","Appliances","Large Box","Hoover Portapower™ Portable Vacuum",-20.85,6,26.39,0.86,4.73,49.0,"Regular Air",'2013-01-22','2013-01-20',"","","","Standerton","Mpumalanga","ZA101685","South Africa","-26.93","29.240","Africa","Southern Africa"
"8447","89418","Low","3074","Theresa Stephens","Corporate","Stockholm","Furniture","Chairs & Chairmats","Jumbo Drum","Situations Contoured Folding Chairs, 4/Set",-1975.88,12,836.0,41.73,74.91,59.81,"Delivery Truck",'2013-02-26','2013-02-26',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"8474","88247","High","3076","Peter Hardy","Consumer","Stockholm","Office Supplies","Storage & Organization","Small Box","Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",-99.29,13,75.47,4.09,6.31,4.69,"Regular Air",'2014-10-04','2014-10-02',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"8476","88239","Medium","3077","Lynne Reid","Small Business","Stockholm","Technology","Computer Peripherals","Small Box","Gyration Ultra Professional Cordless Optical Suite",-780.26,2,590.79,35.94,317.63,7.18,"Regular Air",'2012-05-09','2012-05-07',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"7893","55300","High","2882","Andrew Gonzalez","Consumer","Stockholm","Office Supplies","Appliances","Small Box","Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac",-237.94,37,153.97,7.27,4.29,6.89,"Regular Air",'2012-02-22','2012-02-20',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"7889","88629","Critical","2880","Grace Black","Small Business","Stockholm","Office Supplies","Appliances","Small Box","Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",-87.63,2,110.6,7.27,60.11,13.22,"Regular Air",'2015-05-11','2015-05-09',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"7914","87632","Critical","2883","Stuart Sharma","Consumer","Stockholm","Office Supplies","Paper","Small Box","Xerox 227",-116.51,9,58.48,1.84,6.84,8.73,"Regular Air",'2012-05-09','2012-05-09',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"6787","86894","Not Specified","2489","Craig Liu","Home Office","Stockholm","Office Supplies","Appliances","Large Box","Hoover Portapower™ Portable Vacuum",-37.27,10,46.83,1.69,4.73,49.0,"Regular Air",'2014-12-11','2014-12-10',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"7890","88629","Critical","2880","Grace Black","Small Business","Stockholm","Technology","Telephones and Communication","Small Pack","Accessory32",-84.94,2,107.53,7.55,59.08,1.25,"Regular Air",'2015-05-11','2015-05-09',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"7888","88628","Critical","2880","Grace Black","Small Business","Stockholm","Furniture","Office Furnishings","Small Pack","Ultra Door Push Plate",-19.26,5,24.35,1.38,5.18,3.05,"Regular Air",'2014-02-24','2014-02-22',"","","","Stockholm","","","Sweden","59.329","18.068","Europe","Northern Europe"
"5493","87130","Not Specified","2025","Benjamin Harrell","Small Business","Swellendam","Office Supplies","Paper","Small Box","Xerox 217",-112.62,7,44.53,1.86,6.84,8.19,"Express Air",'2014-03-09','2014-03-08',"","","","Swellendam","Western Cape","ZA101501","South Africa","-34.01","20.430","Africa","Southern Africa"
"6013","86262","Not Specified","2206","Bobby Powell","Consumer","Swellendam","Office Supplies","Storage & Organization","Small Box","Hanging Personal Folder File",-203.99,10,157.419999999999,7.29,16.57,11.25,"Regular Air",'2014-03-06','2014-03-04',"","","","Swellendam","Western Cape","ZA101501","South Africa","-34.01","20.430","Africa","Southern Africa"
"7123","90878","Medium","2596","Stacey Bell","Corporate","Swellendam","Furniture","Office Furnishings","Small Pack","Magna Visual Magnetic Picture Hangers",-111.63,12,60.47,0.71,5.09,5.72,"Regular Air",'2014-03-08','2014-03-07',"","","","Swellendam","Western Cape","ZA101501","South Africa","-34.01","20.430","Africa","Southern Africa"
"7144","91496","Not Specified","2617","Gerald Crabtree","Corporate","Swellendam","Office Supplies","Appliances","Large Box","Bravo II™ Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",-14.71,6,18.52,1.36,3.43,49.0,"Regular Air",'2012-12-28','2012-12-27',"","","","Swellendam","Western Cape","ZA101501","South Africa","-34.01","20.430","Africa","Southern Africa"
"1316","90067","Low","510","Gregory Rao","Corporate","Sydney","Technology","Office Machines","Jumbo Drum","Panasonic KX-P1150 Dot Matrix Printer",-118.34,1,148.9,6.12,153.5,17.85,"Delivery Truck",'2015-01-18','2015-01-13',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1969","90364","Medium","740","Sean Pratt","Consumer","Sydney","Furniture","Chairs & Chairmats","Jumbo Drum","Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs",-355.27,1,259.649999999999,7.84,273.32,54.31,"Delivery Truck",'2013-10-18','2013-10-16',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1299","87360","Low","505","Neil Arnold Kidd","Corporate","Sydney","Office Supplies","Appliances","Small Box","Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",-25.33,7,31.95,0.51,4.61,5.15,"Regular Air",'2015-01-12','2015-01-07',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1410","90910","Medium","550","Edna Monroe Talley","Corporate","Sydney","Technology","Telephones and Communication","Small Box","2160",-231.43,1,112.62,7.55,122.41,5.99,"Express Air",'2012-12-13','2012-12-12',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1018","90343","Critical","387","Angela Howe","Corporate","Sydney","Technology","Telephones and Communication","Medium Box","1726 Digital Answering Machine",-46.49,1,21.94,0.5,22.16,4.809999999999,"Regular Air",'2013-12-15','2013-12-14',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1565","87021","Low","602","Randall Bynum","Small Business","Sydney","Office Supplies","Paper","Small Box","Xerox 1959",-114.88,9,58.37,3.42,7.05,7.3,"Regular Air",'2013-02-15','2013-02-11',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1003","88928","Critical","383","Renee Alston","Corporate","Sydney","Office Supplies","Binders and Binder Accessories","Small Box","Pressboard Data Binder, Crimson, 12"" X 8 1/2""",-80.03,7,37.11,1.41,5.64,5.63,"Regular Air",'2012-03-19','2012-03-19',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1745","90925","Medium","664","Denise Chapman","Home Office","Sydney","Office Supplies","Binders and Binder Accessories","Small Box","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-72.59,7,32.63,1.76,5.18,4.97,"Regular Air",'2015-04-11','2015-04-09',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"2031","86642","Low","760","Ben Reid Bland","Small Business","Sydney","Technology","Office Machines","Jumbo Drum","Panasonic KX-P1150 Dot Matrix Printer",-270.79,1,144.29,5.21,153.5,17.85,"Delivery Truck",'2014-02-21','2014-02-17',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"9","90197","Low","5","Ronnie Proctor","Home Office","Sydney","Office Supplies","Paper","Small Box","Xerox 1930",-136.479999999999,18,113.27,7.45,6.84,6.81,"Regular Air",'2014-05-21','2014-05-12',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1243","90355","Critical","483","Edgar McKenzie","Corporate","Sydney","Office Supplies","Binders and Binder Accessories","Small Box","Fellowes Twister Kit, Gray/Clear, 3/pkg",-189.42,13,101.54,6.69,8.49,8.94,"Regular Air",'2013-05-22','2013-05-20',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1189","88068","High","463","Debbie Stevenson","Small Business","Sydney","Technology","Computer Peripherals","Small Box","Belkin MediaBoard 104- Keyboard",-21.7,1,27.26,1.57,29.0,4.0,"Regular Air",'2015-05-09','2015-05-07',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1349","90027","Not Specified","526","April Hu","Home Office","Sydney","Office Supplies","Paper","Small Box","Xerox 1978",-104.53,15,85.87,4.42,6.09,5.67,"Regular Air",'2012-07-18','2012-07-17',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1526","88648","Medium","588","Sean Garner","Corporate","Sydney","Office Supplies","Paper","Small Box","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",-83.79,6,36.35,0.71,6.31,7.15,"Regular Air",'2013-03-15','2013-03-13',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1158","86026","Critical","451","Joyce Murray","Home Office","Sydney","Office Supplies","Binders and Binder Accessories","Small Box","Accohide Poly Flexible Ring Binders",-58.9,7,25.16,1.37,3.95,4.69,"Regular Air",'2015-05-22','2015-05-21',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1848","87817","Not Specified","694","Cecil Bray Bush","Home Office","Sydney","Office Supplies","Paper","Small Box","Xerox 213",-62.31,7,43.57,2.4,6.84,7.86,"Regular Air",'2014-09-25','2014-09-23',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1829","89919","Critical","691","Alicia Curtis","Home Office","Sydney","Furniture","Office Furnishings","Medium Box","DAX Value U-Channel Document Frames, Easel Back",-143.75,16,84.0,2.43,5.25,5.71,"Regular Air",'2014-07-18','2014-07-16',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1920","87989","Low","706","Patrick Reilly","Consumer","Sydney","Office Supplies","Scissors, Rulers and Trimmers","Small Pack","Kleencut Forged Office Shears by Acme United Corporation",-19.27,12,24.18,0.89,2.19,2.56,"Regular Air",'2015-04-24','2015-04-22',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1098","87700","Critical","421","Scott Feldman","Small Business","Sydney","Technology","Office Machines","Medium Box","Polycom Soundstation EX Audio-Conferencing Telephone, Black",-760.99,1,960.35,53.14,1055.33,13.99,"Regular Air",'2012-02-08','2012-02-06',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1086","87704","Not Specified","417","Mike Pollard","Small Business","Sydney","Office Supplies","Storage & Organization","Small Box","Hanging Personal Folder File",-151.449999999999,7,104.39,6.32,16.57,11.25,"Regular Air",'2014-03-16','2014-03-16',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1973","87725","Low","744","Joy Maxwell","Corporate","Sydney","Office Supplies","Binders and Binder Accessories","Small Box","Wilson Jones Impact Binders",-37.729999999999,9,47.75,1.94,5.47,5.74,"Regular Air",'2012-02-01','2012-01-28',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1586","91146","Critical","605","Alison Peters Wooten","Home Office","Sydney","Office Supplies","Binders and Binder Accessories","Small Box","Avery Durable Poly Binders",-12.69,3,15.94,0.94,5.84,6.98,"Regular Air",'2014-02-28','2014-02-28',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1474","87107","Low","565","Andrea Oakley","Corporate","Sydney","Technology","Computer Peripherals","Small Pack","Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",-42.63,11,53.92,1.57,5.16,4.93,"Regular Air",'2014-03-14','2014-03-09',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1383","88130","Low","542","Jim Shah","Home Office","Sydney","Technology","Computer Peripherals","Small Box","Logitech Access Keyboard",-45.75,2,30.37,1.8,16.87,4.0,"Regular Air",'2014-07-19','2014-07-14',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1546","86319","High","594","Charlie Moore","Consumer","Sydney","Office Supplies","Binders and Binder Accessories","Small Box","Self-Adhesive Ring Binder Labels",-37.72,14,47.78,2.45,3.71,6.83,"Regular Air",'2014-02-06','2014-02-04',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1159","86012","Critical","452","Leslie Rowland","Home Office","Sydney","Technology","Telephones and Communication","Small Pack","Accessory36",-46.35,1,58.49,1.81,59.08,5.0,"Regular Air",'2012-05-28','2012-05-27',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"1531","86312","Low","592","Eva Silverman","Small Business","Sydney","Office Supplies","Storage & Organization","Jumbo Drum","Tennsco Lockers, Gray",-120.95,7,151.949999999999,5.88,22.15,53.03,"Delivery Truck",'2013-02-11','2013-02-09',"","","","Sydney","NSW","2000","Australia","-33.92","151.18","Oceania","Australia and New Zealand"
"3193","88604","Medium","1213","Jeremy Pratt","Corporate","Tel Aviv","Office Supplies","Paper","Small Box","Xerox 1953",-119.68,14,57.58,3.12,4.519999999999,5.74,"Regular Air",'2014-05-15','2014-05-13',"","","","Tel Aviv","","","Israel","32.066","34.799","Asia","Western Asia"
"3414","5444","Critical","1291","Maria Jackson","Small Business","Tel Aviv","Technology","Copiers and Fax","Large Box","Canon PC940 Copier",-688.58,2,873.8,52.08,474.89,24.49,"Regular Air",'2014-03-19','2014-03-17',"","","","Tel Aviv","","","Israel","32.066","34.799","Asia","Western Asia"
"3191","88603","Critical","1213","Jeremy Pratt","Corporate","Tel Aviv","Office Supplies","Scissors, Rulers and Trimmers","Wrap Bag","Serrated Blade or Curved Handle Hand Letter Openers",-60.71,12,38.13,1.21,3.31,1.92,"Regular Air",'2014-02-21','2014-02-20',"","","","Tel Aviv","","","Israel","32.066","34.799","Asia","Western Asia"
"2799","86123","High","1085","Ted Dunlap","Home Office","Tel Aviv","Office Supplies","Paper","Small Box","Southworth 25% Cotton Linen-Finish Paper & Envelopes",-51.45,3,27.56,0.89,9.57,9.86,"Regular Air",'2012-04-25','2012-04-24',"","","","Tel Aviv","","","Israel","32.066","34.799","Asia","Western Asia"
"2802","86126","Not Specified","1085","Ted Dunlap","Home Office","Tel Aviv","Office Supplies","Storage & Organization","Small Box","Staples File Caddy",-72.67,5,45.05,2.48,9.9,7.28,"Regular Air",'2013-07-15','2013-07-14',"","","","Tel Aviv","","","Israel","32.066","34.799","Asia","Western Asia"
"2911","86781","Not Specified","1116","Meredith Bland","Home Office","Tel Aviv","Office Supplies","Storage & Organization","Medium Box","Iris Project Case",-138.03,10,76.62,5.25,8.42,6.5,"Regular Air",'2015-02-20','2015-02-18',"","","","Tel Aviv","","","Israel","32.066","34.799","Asia","Western Asia"
"1430","17155","Medium","553","Kristine Connolly","Home Office","Tel Aviv","Office Supplies","Storage & Organization","Large Box","Fellowes Neat Ideas Storage Cubes",-1391.69,34,1130.55,53.48,34.28,35.0,"Express Air",'2015-01-28','2015-01-28',"","","","Tel Aviv","","","Israel","32.066","34.799","Asia","Western Asia"
"2722","90075","Not Specified","1054","Keith R Atkinson","Corporate","Tel Aviv","Furniture","Tables","Jumbo Box","Anderson Hickey Conga Table Tops & Accessories",-63.74,5,80.349999999999,1.58,16.07,27.75,"Delivery Truck",'2015-03-19','2015-03-18',"","","","Tel Aviv","","","Israel","32.066","34.799","Asia","Western Asia"
"4810","89856","High","1782","Lawrence Dennis","Home Office","Tijuana","Office Supplies","Pens & Art Supplies","Wrap Bag","Newell 342",-18.67,7,23.49,1.07,3.46,3.97,"Regular Air",'2012-01-08','2012-01-06',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"5272","88860","Not Specified","1963","Ruby Tan","Home Office","Tijuana","Office Supplies","Storage & Organization","Small Box","Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",-54.79,3,46.78,2.0,16.95,8.34,"Regular Air",'2014-04-05','2014-04-05',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"5840","86005","Medium","2138","Christopher Chambers","Corporate","Tijuana","Office Supplies","Binders and Binder Accessories","Small Box","ACCOHIDE Binder by Acco",-55.29,8,33.83,0.71,4.36,5.34,"Regular Air",'2013-06-20','2013-06-19',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4237","86668","Medium","1593","Ronald O'Neill","Corporate","Tijuana","Office Supplies","Binders and Binder Accessories","Small Box","Avery Durable Poly Binders",-75.19,8,45.79,0.68,5.84,6.98,"Regular Air",'2012-10-06','2012-10-04',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4802","89945","Medium","1779","Samantha Hall","Consumer","Tijuana","Furniture","Bookcases","Jumbo Box","Bush Westfield Collection Bookcases, Fully Assembled",-155.03,1,98.04,5.05,106.57,35.84,"Delivery Truck",'2013-05-29','2013-05-28',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"5857","87574","High","2141","Molly Webster","Home Office","Tijuana","Technology","Computer Peripherals","Small Box","PC Concepts 116 Key Quantum 3000 Keyboard",-98.7,2,62.64,4.83,34.799999999999,5.5,"Regular Air",'2015-06-10','2015-06-07',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"5856","87574","High","2141","Molly Webster","Home Office","Tijuana","Technology","Computer Peripherals","Small Box","Adesso Programmable 142-Key Keyboard",-123.49,1,156.08,7.1,160.91,4.0,"Regular Air",'2015-06-09','2015-06-07',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4277","87826","Not Specified","1609","Jerry Ennis","Consumer","Tijuana","Office Supplies","Paper","Small Box","Xerox 210",-152.07,13,87.14,1.73,6.84,7.37,"Regular Air",'2015-02-03','2015-02-01',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4270","87994","Not Specified","1607","Kathleen Huang Hall","Home Office","Tijuana","Office Supplies","Binders and Binder Accessories","Small Box","GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",-194.06,7,110.88,3.5,16.0,15.09,"Regular Air",'2012-04-15','2012-04-15',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4276","87824","High","1609","Jerry Ennis","Consumer","Tijuana","Office Supplies","Storage & Organization","Small Box","Filing/Storage Totes and Swivel Casters",-35.65,2,19.87,0.49,10.24,9.449999999999,"Regular Air",'2012-05-11','2012-05-11',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"5294","91554","Medium","1971","Marsha Roy","Corporate","Tijuana","Office Supplies","Storage & Organization","Small Box","Tenex File Box, Personal Filing Tote with Lid, Black",-183.41,5,80.209999999999,2.069999999999,16.37,17.78,"Regular Air",'2015-01-19','2015-01-18',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4245","90798","Not Specified","1595","Chad Henson","Corporate","Tijuana","Office Supplies","Paper","Small Box","Xerox 199",-36.06,11,45.74,3.06,4.519999999999,5.68,"Regular Air",'2014-04-19','2014-04-17',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4764","89106","Medium","1771","Jeff Spivey","Home Office","Tijuana","Office Supplies","Appliances","Large Box","Euro Pro Shark Stick Mini Vacuum",-780.55,7,418.92,19.059999999999,64.349999999999,49.0,"Regular Air",'2012-03-07','2012-03-06',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4734","90180","High","1757","Lee Finch","Consumer","Tijuana","Technology","Computer Peripherals","Small Pack","Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",-98.78,11,69.41,0.23,6.31,4.38,"Regular Air",'2014-05-09','2014-05-08',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"5895","90401","High","2157","Tom Hoyle Honeycutt","Corporate","Tijuana","Furniture","Office Furnishings","Small Pack","Eldon Pizzaz™ Desk Accessories",-24.31,5,11.63,0.43,2.35,4.57,"Regular Air",'2015-06-25','2015-06-23',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"5268","88864","Critical","1962","Sean Burton","Corporate","Tijuana","Furniture","Office Furnishings","Small Box","Career Cubicle Clock, 8 1/4"", Black",-59.66,2,42.82,0.68,21.41,14.39,"Regular Air",'2015-01-22','2015-01-22',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"5872","91102","Not Specified","2149","Rodney Proctor","Home Office","Tijuana","Office Supplies","Rubber Bands","Wrap Bag","Staples Metal Binder Clips",-30.42,14,38.25,0.88,2.76,0.8,"Express Air",'2013-07-20','2013-07-19',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
"4740","89782","Medium","1763","Lucy Levine","Corporate","Tijuana","Office Supplies","Binders and Binder Accessories","Small Box","Avery Durable Binders",-23.12,10,29.18,0.94,3.04,1.49,"Regular Air",'2014-05-22','2014-05-20',"","","","Tijuana","Baja California","ME101654","Mexico","32.500","-117.0","America","Central America"
